API申報項目代號說明  API申報項目名稱說明  檢核說明  
項目代號 項目代號說明 項目名稱 項目名稱說明 欄位型態 欄位長度 
1 銀行同業透支及拆放銀行同業 TOT_Bal 合計 N9 7 
1 銀行同業透支及拆放銀行同業 NT_Bal 台幣計價部分 N9 7 
1 銀行同業透支及拆放銀行同業 FX_Bal 外幣計價部分(以台幣表示) N9 7 
2 存放銀行同業 TOT_Bal 合計 N9 7 
2 存放銀行同業 NT_Bal 台幣計價部分 N9 7 
2 存放銀行同業 FX_Bal 外幣計價部分(以台幣表示) N9 7 
3 存放央行 TOT_Bal 合計 N9 7 
3 存放央行 NT_Bal 台幣計價部分 N9 7 
3 存放央行 FX_Bal 外幣計價部分(以台幣表示) N9 7 
4 轉存央行存款 TOT_Bal 合計 N9 7 
4 轉存央行存款 NT_Bal 台幣計價部分 N9 7 
4 轉存央行存款 FX_Bal 外幣計價部分(以台幣表示) N9 7 
5 聯行往來-借方 TOT_Bal 合計 N9 7 
5 聯行往來-借方 NT_Bal 台幣計價部分 N9 7 
5 聯行往來-借方 FX_Bal 外幣計價部分(以台幣表示) N9 7 
6 國庫券 TOT_Bal 合計 N9 7 
6 國庫券 NT_Bal 台幣計價部分 N9 7 
7 央行定期存單(CD及NCD) TOT_Bal 合計 N9 7 
7 央行定期存單(CD及NCD) NT_Bal 台幣計價部分 N9 7 
8 政府公債 TOT_Bal 合計 N9 7 
8 政府公債 NT_Bal 台幣計價部分 N9 7 
9 商業本票 TOT_Bal 合計 N9 7 
9 商業本票 NT_Bal 台幣計價部分 N9 7 
10 銀行可轉讓定存單 TOT_Bal 合計 N9 7 
10 銀行可轉讓定存單 NT_Bal 台幣計價部分 N9 7 
11 銀行承兌匯票 TOT_Bal 合計 N9 7 
11 銀行承兌匯票 NT_Bal 台幣計價部分 N9 7 
12 公司債券 TOT_Bal 合計 N9 7 
12 公司債券 NT_Bal 台幣計價部分 N9 7 
13 金融債券 TOT_Bal 合計 N9 7 
13 金融債券 NT_Bal 台幣計價部分 N9 7 
14 股票及長期股權投資 TOT_Bal 合計 N9 7 
14 股票及長期股權投資 NT_Bal 台幣計價部分 N9 7 
